民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,1370561.0,102.96,1308446.0,103.05,
銷貨退回,4741.0,0.36,3100.0,0.24,
銷貨折讓,34631.0,2.6,35598.0,2.8,
銷貨收入淨額,1331189.0,100.0,1269748.0,100.0,
營業收入合計,1331189.0,100.0,1269748.0,100.0,
營業成本合計,948971.0,71.29,929557.0,73.21,
營業毛利（毛損）,382218.0,28.71,340191.0,26.79,
營業毛利（毛損）淨額,382218.0,28.71,340191.0,26.79,
營業費用,,,,,
推銷費用,263971.0,19.83,251405.0,19.8,
管理費用,146738.0,11.02,134416.0,10.59,
研究發展費用,10757.0,0.81,9362.0,0.74,
營業費用合計,421466.0,31.66,395183.0,31.12,
營業利益（損失）,-39248.0,-2.95,-54992.0,-4.33,
營業外收入及支出,,,,,
其他收入,156662.0,11.77,156593.0,12.33,
其他利益及損失淨額,-1518.0,-0.11,-35750.0,-2.82,
財務成本淨額,2174.0,0.16,3132.0,0.25,
採用權益法認列之關聯企業及合資損益之份額淨額,34107.0,2.56,21735.0,1.71,
營業外收入及支出合計,187077.0,14.05,139446.0,10.98,
稅前淨利（淨損）,147829.0,11.11,84454.0,6.65,
所得稅費用（利益）合計,24801.0,1.86,20168.0,1.59,
繼續營業單位本期淨利（淨損）,123028.0,9.24,64286.0,5.06,
停業單位損益,,,,,
停業單位損益合計,0.0,0.0,0.0,0.0,
本期淨利（淨損）,123028.0,9.24,64286.0,5.06,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,0.0,0.0,0.0,0.0,
重估增值,0.0,0.0,0.0,0.0,
指定按公允價值衡量之金融負債信用風險變動影響數,0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
權益工具投資之利益(損失),0.0,0.0,0.0,0.0,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,0.0,0.0,0.0,0.0,
不重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,5821.0,0.44,-5926.0,-0.47,
備供出售金融資產未實現評價損益,15026.0,1.13,1305.0,0.1,
與可能重分類之項目相關之所得稅,989.0,0.07,-1007.0,-0.08,
其他綜合損益（淨額）,19858.0,1.49,-3614.0,-0.28,
本期綜合損益總額,142886.0,10.73,60672.0,4.78,
母公司業主（淨利／損）,123028.0,9.24,64286.0,5.06,
母公司業主（綜合損益）,142886.0,10.73,60672.0,4.78,
基本每股盈餘,,,,,
基本每股盈餘,0.31,,0.16,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.31,,0.16,,
