民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,15362530.0,100.0,16256080.0,100.0,
營業成本合計,13729956.0,89.37,14017994.0,86.23,
營業毛利（毛損）,1632574.0,10.63,2238086.0,13.77,
未實現銷貨（損）益,1263.0,0.01,358.0,0.0,
營業毛利（毛損）淨額,1631311.0,10.62,2237728.0,13.77,
營業費用,,,,,
營業費用合計,593936.0,3.87,600109.0,3.69,
營業利益（損失）,1037375.0,6.75,1637619.0,10.07,
營業外收入及支出,,,,,
其他收入,179735.0,1.17,242432.0,1.49,
其他利益及損失淨額,79844.0,0.52,-523400.0,-3.22,
財務成本淨額,412287.0,2.68,385203.0,2.37,
採用權益法認列之關聯企業及合資損益之份額淨額,960033.0,6.25,1042631.0,6.41,
營業外收入及支出合計,807325.0,5.26,376460.0,2.32,
稅前淨利（淨損）,1844700.0,12.01,2014079.0,12.39,
所得稅費用（利益）合計,302412.0,1.97,330848.0,2.04,
繼續營業單位本期淨利（淨損）,1542288.0,10.04,1683231.0,10.35,
本期淨利（淨損）,1542288.0,10.04,1683231.0,10.35,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,-21995.0,-0.14,0.0,0.0,
重估增值,0.0,0.0,122052.0,0.75,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,30.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-862180.0,-5.61,719397.0,4.43,
備供出售金融資產未實現評價損益,4758940.0,30.98,-868227.0,-5.34,
現金流量避險中屬有效避險部分之避險工具利益(損失),6937.0,0.05,3931.0,0.02,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,45564.0,0.3,-340082.0,-2.09,
其他綜合損益（淨額）,3927296.0,25.56,-362929.0,-2.23,
本期綜合損益總額,5469584.0,35.6,1320302.0,8.12,
母公司業主（淨利／損）,1468473.0,9.56,1439813.0,8.86,
非控制權益（淨利／損）,73815.0,0.48,243418.0,1.5,
母公司業主（綜合損益）,5633392.0,36.67,873472.0,5.37,
非控制權益（綜合損益）,-163808.0,-1.07,446830.0,2.75,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.47,,0.46,,
基本每股盈餘,0.47,,0.46,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.44,,0.39,,
稀釋每股盈餘,0.44,,0.39,,
