民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,1327430.0,100.0,1379161.0,100.0,
營業成本合計,1217267.0,91.7,1243559.0,90.17,
營業毛利（毛損）,110163.0,8.3,135602.0,9.83,
營業毛利（毛損）淨額,110163.0,8.3,135602.0,9.83,
營業費用,,,,,
推銷費用,20341.0,1.53,25477.0,1.85,
管理費用,51804.0,3.9,55876.0,4.05,
研究發展費用,13438.0,1.01,6895.0,0.5,
營業費用合計,85583.0,6.45,88248.0,6.4,
營業利益（損失）,24580.0,1.85,47354.0,3.43,
營業外收入及支出,,,,,
其他收入,12857.0,0.97,12547.0,0.91,
其他利益及損失淨額,-3592.0,-0.27,1110.0,0.08,
財務成本淨額,3267.0,0.25,2320.0,0.17,
採用權益法認列之關聯企業及合資損益之份額淨額,239156.0,18.02,193276.0,14.01,
營業外收入及支出合計,245154.0,18.47,204613.0,14.84,
稅前淨利（淨損）,269734.0,20.32,251967.0,18.27,
所得稅費用（利益）合計,7897.0,0.59,11138.0,0.81,
繼續營業單位本期淨利（淨損）,261837.0,19.73,240829.0,17.46,
本期淨利（淨損）,261837.0,19.73,240829.0,17.46,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-40.0,0.0,188.0,0.01,
備供出售金融資產未實現評價損益,123710.0,9.32,5341.0,0.39,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-77704.0,-5.85,125322.0,9.09,
與可能重分類之項目相關之所得稅,0.0,0.0,174.0,0.01,
其他綜合損益（淨額）,45966.0,3.46,130677.0,9.48,
本期綜合損益總額,307803.0,23.19,371506.0,26.94,
母公司業主（淨利／損）,263305.0,19.84,239661.0,17.38,
非控制權益（淨利／損）,-1468.0,-0.11,1168.0,0.08,
母公司業主（綜合損益）,309271.0,23.3,370338.0,26.85,
非控制權益（綜合損益）,-1468.0,-0.11,1168.0,0.08,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.43,,0.39,,
基本每股盈餘,0.43,,0.39,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.43,,0.39,,
稀釋每股盈餘,0.43,,0.39,,
