民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,1959783.0,101.63,1947420.0,101.17,
銷貨退回,27843.0,1.44,17677.0,0.92,
銷貨折讓,3575.0,0.19,4789.0,0.25,
銷貨收入淨額,1928365.0,100.0,1924954.0,100.0,
營業收入合計,1928365.0,100.0,1924954.0,100.0,
營業成本合計,1459718.0,75.7,1495845.0,77.71,
營業毛利（毛損）,468647.0,24.3,429109.0,22.29,
營業毛利（毛損）淨額,468647.0,24.3,429109.0,22.29,
營業費用,,,,,
推銷費用,67012.0,3.48,81647.0,4.24,
管理費用,133534.0,6.92,125882.0,6.54,
研究發展費用,44819.0,2.32,45442.0,2.36,
營業費用合計,245365.0,12.72,252971.0,13.14,
營業利益（損失）,223282.0,11.58,176138.0,9.15,
營業外收入及支出,,,,,
其他收入,5372.0,0.28,4798.0,0.25,
其他利益及損失淨額,13589.0,0.7,1186.0,0.06,
財務成本淨額,5019.0,0.26,8884.0,0.46,
採用權益法認列之關聯企業及合資損益之份額淨額,-161.0,-0.01,-3701.0,-0.19,
營業外收入及支出合計,13781.0,0.71,-6601.0,-0.34,
稅前淨利（淨損）,237063.0,12.29,169537.0,8.81,
所得稅費用（利益）合計,54741.0,2.84,42954.0,2.23,
繼續營業單位本期淨利（淨損）,182322.0,9.45,126583.0,6.58,
本期淨利（淨損）,182322.0,9.45,126583.0,6.58,
不重分類至損益之項目：,,,,,
不重分類至損益之其他項目,-61669.0,-3.2,-26287.0,-1.37,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
其他綜合損益（淨額）,-61669.0,-3.2,-26287.0,-1.37,
本期綜合損益總額,120653.0,6.26,100296.0,5.21,
母公司業主（淨利／損）,182373.0,9.46,126565.0,6.57,
非控制權益（淨利／損）,-51.0,0.0,18.0,0.0,
母公司業主（綜合損益）,121017.0,6.28,100417.0,5.22,
非控制權益（綜合損益）,-364.0,-0.02,-121.0,-0.01,
基本每股盈餘,,,,,
基本每股盈餘,2.18,,1.62,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,2.17,,1.62,,
