民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,2728980.0,100.38,2946822.0,100.32,
銷貨退回,10834.0,0.4,10268.0,0.35,
銷貨收入淨額,2718146.0,99.98,2936554.0,99.98,
加工收入淨額,467.0,0.02,725.0,0.02,
勞務收入,467.0,0.02,725.0,0.02,
營業收入合計,2718613.0,100.0,2937279.0,100.0,
銷貨成本,2551642.0,93.86,2745254.0,93.46,
加工成本,141.0,0.01,830.0,0.03,
勞務成本,141.0,0.01,830.0,0.03,
營業成本合計,2551783.0,93.86,2746084.0,93.49,
營業毛利（毛損）,166830.0,6.14,191195.0,6.51,
未實現銷貨（損）益,110.0,0.0,282.0,0.01,
營業毛利（毛損）淨額,166720.0,6.13,190913.0,6.5,
營業費用,,,,,
推銷費用,73681.0,2.71,86048.0,2.93,
管理費用,38016.0,1.4,39249.0,1.34,
研究發展費用,5170.0,0.19,4999.0,0.17,
營業費用合計,116867.0,4.3,130296.0,4.44,
其他收益及費損淨額,,,,,
其他收益,0.0,0.0,-129.0,0.0,
其他收益及費損淨額,0.0,0.0,-129.0,0.0,
營業利益（損失）,49853.0,1.83,60488.0,2.06,
營業外收入及支出,,,,,
其他收入,5603.0,0.21,3979.0,0.14,
其他利益及損失淨額,-667.0,-0.02,-5549.0,-0.19,
財務成本淨額,12256.0,0.45,14939.0,0.51,
採用權益法認列之關聯企業及合資損益之份額淨額,-2635.0,-0.1,4003.0,0.14,
營業外收入及支出合計,-9955.0,-0.37,-12506.0,-0.43,
稅前淨利（淨損）,39898.0,1.47,47982.0,1.63,
所得稅費用（利益）合計,7456.0,0.27,8607.0,0.29,
繼續營業單位本期淨利（淨損）,32442.0,1.19,39375.0,1.34,
本期淨利（淨損）,32442.0,1.19,39375.0,1.34,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,0.0,0.0,0.0,0.0,
重估增值,0.0,0.0,0.0,0.0,
指定按公允價值衡量之金融負債信用風險變動影響數,0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
權益工具投資之利益(損失),0.0,0.0,0.0,0.0,
不重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-3546.0,-0.13,5081.0,0.17,
備供出售金融資產未實現評價損益,0.0,0.0,0.0,0.0,
現金流量避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,0.0,0.0,0.0,0.0,
可能重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
其他綜合損益（淨額）,-3546.0,-0.13,5081.0,0.17,
本期綜合損益總額,28896.0,1.06,44456.0,1.51,
母公司業主（淨利／損）,31588.0,1.16,35292.0,1.2,
非控制權益（淨利／損）,854.0,0.03,4083.0,0.14,
母公司業主（綜合損益）,28042.0,1.03,40373.0,1.37,
非控制權益（綜合損益）,854.0,0.03,4083.0,0.14,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.14,,0.18,,
基本每股盈餘,0.14,,0.18,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.14,,0.17,,
稀釋每股盈餘,0.14,,0.17,,
