民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,837271.0,100.0,752609.0,100.0,
營業成本合計,787147.0,94.01,676842.0,89.93,
營業毛利（毛損）,50124.0,5.99,75767.0,10.07,
營業毛利（毛損）淨額,50124.0,5.99,75767.0,10.07,
營業費用,,,,,
推銷費用,37826.0,4.52,30672.0,4.08,
管理費用,25023.0,2.99,18206.0,2.42,
營業費用合計,62849.0,7.51,48878.0,6.49,
營業利益（損失）,-12725.0,-1.52,26889.0,3.57,
營業外收入及支出,,,,,
其他收入,3490.0,0.42,3942.0,0.52,
其他利益及損失淨額,4977.0,0.59,-925.0,-0.12,
財務成本淨額,640.0,0.08,1868.0,0.25,
營業外收入及支出合計,7827.0,0.93,1149.0,0.15,
稅前淨利（淨損）,-4898.0,-0.58,28038.0,3.73,
所得稅費用（利益）合計,-1064.0,-0.13,4260.0,0.57,
繼續營業單位本期淨利（淨損）,-3834.0,-0.46,23778.0,3.16,
本期淨利（淨損）,-3834.0,-0.46,23778.0,3.16,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,0.0,0.0,0.0,0.0,
重估增值,0.0,0.0,0.0,0.0,
指定按公允價值衡量之金融負債信用風險變動影響數,0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
權益工具投資之利益(損失),0.0,0.0,0.0,0.0,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,0.0,0.0,0.0,0.0,
不重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-60.0,-0.01,-191.0,-0.03,
備供出售金融資產未實現評價損益,8900.0,1.06,1639.0,0.22,
現金流量避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,0.0,0.0,0.0,0.0,
可能重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與可能重分類之項目相關之所得稅,-10.0,0.0,-31.0,0.0,
其他綜合損益（淨額）,8850.0,1.06,1479.0,0.2,
本期綜合損益總額,5016.0,0.6,25257.0,3.36,
母公司業主（淨利／損）,-1573.0,-0.19,21153.0,2.81,
非控制權益（淨利／損）,-2261.0,-0.27,2625.0,0.35,
母公司業主（綜合損益）,7304.0,0.87,22719.0,3.02,
非控制權益（綜合損益）,-2288.0,-0.27,2538.0,0.34,
基本每股盈餘,,,,,
基本每股盈餘,-0.01,,0.12,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,-0.01,,0.12,,
