民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,1016187.0,100.0,853255.0,100.0,
營業收入合計,1016187.0,100.0,853255.0,100.0,
銷貨成本,717928.0,70.65,633639.0,74.26,
營業成本合計,717928.0,70.65,633639.0,74.26,
營業毛利（毛損）,298259.0,29.35,219616.0,25.74,
營業毛利（毛損）淨額,298259.0,29.35,219616.0,25.74,
營業費用,,,,,
推銷費用,277652.0,27.32,277268.0,32.5,
管理費用,85169.0,8.38,79063.0,9.27,
研究發展費用,10963.0,1.08,11572.0,1.36,
營業費用合計,373784.0,36.78,367903.0,43.12,
營業利益（損失）,-75525.0,-7.43,-148287.0,-17.38,
營業外收入及支出,,,,,
其他收入,11991.0,1.18,10003.0,1.17,
其他利益及損失淨額,25220.0,2.48,6900.0,0.81,
財務成本淨額,42516.0,4.18,41326.0,4.84,
採用權益法認列之關聯企業及合資損益之份額淨額,1379.0,0.14,4693.0,0.55,
營業外收入及支出合計,-3926.0,-0.39,-19730.0,-2.31,
稅前淨利（淨損）,-79451.0,-7.82,-168017.0,-19.69,
所得稅費用（利益）合計,-2836.0,-0.28,-11358.0,-1.33,
繼續營業單位本期淨利（淨損）,-76615.0,-7.54,-156659.0,-18.36,
本期淨利（淨損）,-76615.0,-7.54,-156659.0,-18.36,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-4741.0,-0.47,17100.0,2.0,
備供出售金融資產未實現評價損益,-12356.0,-1.22,-841.0,-0.1,
現金流量避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,13856.0,1.36,-15302.0,-1.79,
與可能重分類之項目相關之所得稅,-374.0,-0.04,2921.0,0.34,
其他綜合損益（淨額）,-2867.0,-0.28,-1964.0,-0.23,
本期綜合損益總額,-79482.0,-7.82,-158623.0,-18.59,
母公司業主（淨利／損）,-63155.0,-6.21,-135633.0,-15.9,
非控制權益（淨利／損）,-13460.0,-1.32,-21026.0,-2.46,
母公司業主（綜合損益）,-65913.0,-6.49,-136408.0,-15.99,
非控制權益（綜合損益）,-13569.0,-1.34,-22215.0,-2.6,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,-0.13,,-0.28,,
基本每股盈餘,-0.13,,-0.28,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,-0.15,,-0.28,,
稀釋每股盈餘,-0.15,,-0.28,,
