民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,79525772.0,100.0,77473959.0,100.0,
營業成本合計,68480472.0,86.11,70529634.0,91.04,
營業毛利（毛損）,11045300.0,13.89,6944325.0,8.96,
未實現銷貨（損）益,-214.0,0.0,1759.0,0.0,
營業毛利（毛損）淨額,11045514.0,13.89,6942566.0,8.96,
營業費用,,,,,
推銷費用,2517486.0,3.17,2444941.0,3.16,
管理費用,2004173.0,2.52,1922651.0,2.48,
營業費用合計,4521659.0,5.69,4367592.0,5.64,
營業利益（損失）,6523855.0,8.2,2574974.0,3.32,
營業外收入及支出,,,,,
其他收入,570279.0,0.72,769741.0,0.99,
其他利益及損失淨額,56139.0,0.07,2660038.0,3.43,
財務成本淨額,473861.0,0.6,539073.0,0.7,
採用權益法認列之關聯企業及合資損益之份額淨額,3141560.0,3.95,4979395.0,6.43,
營業外收入及支出合計,3294117.0,4.14,7870101.0,10.16,
稅前淨利（淨損）,9817972.0,12.35,10445075.0,13.48,
所得稅費用（利益）合計,1648631.0,2.07,1080350.0,1.39,
繼續營業單位本期淨利（淨損）,8169341.0,10.27,9364725.0,12.09,
本期淨利（淨損）,8169341.0,10.27,9364725.0,12.09,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,238.0,0.0,-316.0,0.0,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-1863017.0,-2.34,1878576.0,2.42,
備供出售金融資產未實現評價損益,-2617137.0,-3.29,-1872576.0,-2.42,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,218444.0,0.27,-516181.0,-0.67,
與可能重分類之項目相關之所得稅,-53494.0,-0.07,84476.0,0.11,
其他綜合損益（淨額）,-4207978.0,-5.29,-594973.0,-0.77,
本期綜合損益總額,3961363.0,4.98,8769752.0,11.32,
母公司業主（淨利／損）,7950168.0,10.0,9328745.0,12.04,
非控制權益（淨利／損）,219173.0,0.28,35980.0,0.05,
母公司業主（綜合損益）,4063483.0,5.11,8664347.0,11.18,
非控制權益（綜合損益）,-102120.0,-0.13,105405.0,0.14,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.0,,1.18,,
基本每股盈餘,1.0,,1.18,,
